127.0.0.1, 2018-09-13 14:44:41, GET, /, HTTP/1.1, 303, 0.006000
127.0.0.1, 2018-09-13 14:44:43, GET, /welcome/default/index, HTTP/1.1, 200, 1.640000
127.0.0.1, 2018-09-13 14:44:43, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.009000
127.0.0.1, 2018-09-13 14:44:43, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-09-13 14:44:43, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-09-13 14:44:43, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-09-13 14:44:43, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.009000
127.0.0.1, 2018-09-13 14:44:43, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.009000
127.0.0.1, 2018-09-13 14:44:43, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-09-13 14:44:43, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-09-13 14:44:43, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-09-13 14:44:44, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-09-13 14:45:00, GET, /welcome/default/main, HTTP/1.1, 404, 0.055000
127.0.0.1, 2018-09-13 14:45:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-09-13 14:45:08, GET, /welcome/default/index, HTTP/1.1, 200, 0.041000
127.0.0.1, 2018-09-13 14:45:11, GET, /examples/default/index, HTTP/1.1, 200, 0.102000
127.0.0.1, 2018-09-13 14:45:11, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-09-13 14:45:11, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-09-13 14:45:11, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-09-13 14:45:11, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-09-13 14:45:11, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-09-13 14:45:11, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-09-13 14:45:11, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.009000
127.0.0.1, 2018-09-13 14:45:11, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-09-13 14:45:11, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-09-13 14:45:11, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-09-13 14:45:11, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-09-13 14:45:11, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-09-13 14:45:11, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-09-13 14:45:14, GET, /welcome/default/index, HTTP/1.1, 200, 0.040000
127.0.0.1, 2018-09-13 14:45:45, GET, /welcome/default/index, HTTP/1.1, 200, 0.062000
127.0.0.1, 2018-09-13 14:45:45, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001000
